zipcode,average_price
1075GC,125.0
1016PS,172.5
1019SG,150.0
1091SK,79.0
1078LB,100.0
1097AM,99.0
1072JZ,240.0
1091SZ,175.0
1076VG,120.0
1053PK,112.5
1092CM,127.0
1056RL,80.0
1018EM,115.0
1013EA,300.0
1017LC,125.0
1015DG,220.0
1016AB,150.0
1011BJ,147.0
1052CS,99.0
1094GP,100.0
1073SZ,112.0
1013SV,114.33
1016HS,178.33
1019DD,249.0
1019WE,159.0
1091DV,83.0
1025GH,95.0
1076VA,65.0
1016HT,150.0
1011JN,180.0
1021GE,75.0
1092KG,129.0
1015AG,215.0
1013JK,110.0
1016XT,69.0
1053GA,88.0
1015TK,300.0
1091CS,120.0
1018VJ,110.5
1015LD,177.5
1035HN,125.0
1012PV,975.0
1015CS,200.0
1033RC,35.0
1075HM,164.5
1053EM,100.0
1023NT,825.0
1012KR,229.0
1092BT,120.0
1072BD,109.0
1079LH,120.0
1098TJ,342.5
1073VN,220.0
1054VA,169.0
1072XB,572.5
1057VR,113.0
1011HJ,160.0
1015PW,200.0
1091TG,100.0
1021LS,95.0
1013RW,82.5
1053EC,120.0
1057NT,847.5
1052CP,135.0
1072MK,135.0
1094LK,70.0
1054WH,79.0
1073TW,89.0
1011JZ,175.0
1098CC,200.0
1057AL,1065.84
1102TT,75.0
1053AT,75.0
1072LM,65.0
1054JC,205.0
1067VW,89.0
1072CH,70.0
1016TM,90.0
1056XB,125.0
1018KB,80.0
1066XK,393.75
1055XP,79.0
1018VK,85.0
1094CL,105.0
1091NA,118.0
1058XK,85.0
1018PE,117.0
1054XA,140.0
1056HJ,125.0
1015PX,147.5
1055EZ,250.0
1071VJ,114.0
1013JE,110.0
1052WT,109.0
1012GL,150.0
1083HA,140.0
1078AA,354.5
1018AC,124.5
1019WL,85.0
1054WC,170.0
1071XB,120.0
1074HZ,119.5
1015MV,89.0
1019RS,582.5
1023BT,90.0
1053PG,79.0
1018TT,120.0
1075EC,98.0
1012SJ,250.0
1072CC,103.0
1092BH,102.5
1012NB,179.0
1072PG,75.0
1057AZ,160.0
1095KV,100.0
1013GC,295.0
1016GK,89.0
1018AG,154.0
1072AW,122.0
1013AS,92.0
1023CV,147.5
1072GH,100.0
1019DS,85.0
1058SJ,98.0
1073TB,129.0
1091RW,129.0
1082XL,99.0
1057BZ,130.0
1074XB,99.0
1055LM,372.5
1053KZ,95.0
1021EH,129.0
1083TV,130.0
1073EA,132.0
1056PD,95.0
1016PV,112.0
1013DV,99.0
1098KV,250.0
1016TA,129.0
1074BA,150.0
1072HR,430.0
1051HA,1000.0
1018LP,304.75
1013XT,95.0
1015AB,229.0
1012CZ,90.0
1032CL,125.0
1098CR,97.0
1066EH,275.0
1011EH,120.0
1072RE,100.0
1076DT,250.0
1078EL,100.0
1016AL,199.0
1011EX,100.0
1078JJ,85.0
1018RL,75.0
1018HR,89.67
1078PW,115.0
1051XW,99.0
1017HW,150.0
1018PX,85.0
1053LB,110.0
1022AM,37.5
1015XK,95.0
1077RV,162.5
1017XL,350.0
1016NG,110.0
1051NV,129.0
1013RK,120.0
1094CG,95.0
1057JC,89.0
1058JD,450.0
1093VG,90.0
1051PX,190.0
1012NV,672.0
1095LG,100.0
1054EN,110.0
1051GE,89.0
1071NX,995.0
1053CV,175.0
1072JK,1150.0
1078PD,467.5
1035VE,85.0
1072AL,960.0
1017EW,199.0
1098NB,165.0
1053BE,80.0
1059EB,120.0
1098EC,149.0
1079VR,99.0
1059CX,846.25
1053AA,99.0
1015CN,100.0
1015JC,135.0
1072XA,139.0
1053AK,115.0
1091HT,110.0
1055CV,67.5
1018TW,160.0
1098RJ,150.0
1073XR,920.0
1017NB,165.0
1097WC,65.0
1093VD,96.5
1051AB,1437.5
1053PR,119.0
1017BV,485.0
1057VG,70.0
1053HG,530.0
1052BJ,347.91
1057SW,80.0
1076PE,72.0
1017KL,137.25
1015CR,165.0
1091CP,85.0
1013AK,115.0
1053WP,119.5
1098HA,127.5
1016DB,109.5
1055HC,80.0
1016SP,100.0
1091KH,70.0
1011BD,149.0
1072SZ,120.0
1058EM,569.5
1051JV,80.0
1072CB,684.92
1054VL,85.0
1074JB,350.0
1057XA,170.0
1075PV,147.0
1051MA,469.5
1011JJ,225.0
1015TP,971.25
1052HT,959.75
1018AS,527.5
1075RR,462.5
1094XT,65.0
1094JT,70.0
1059VH,30.0
1056KD,70.0
1056DJ,435.0
1076XE,150.0
1015TV,175.0
1016CC,199.0
1012DA,152.5
1016XS,100.0
1017LZ,2162.5
1052MZ,139.0
1013SB,100.0
1016PJ,500.0
1016NK,119.0
1072VZ,150.0
1018CR,79.0
1012PL,615.75
1053KL,107.5
1014AG,3274.25
1053KS,84.5
1056PR,89.0
1017VV,420.0
1053WT,120.0
1073AX,130.0
1016XJ,129.0
1016NC,130.0
1012KE,228.17
1015NV,151.33
1096CN,100.0
1057CD,95.0
1076SM,79.0
1081JX,120.0
1074VT,120.0
