zipcode,average_price
1012BJ,149
1072XM,217.5
1082XR,75
1012VS,139
1016HM,195
1012JL,220
1066CK,400
1012NH,143
1054LM,90
1054KH,135
1056KN,110
1054EL,132.5
1091TR,92
1013JD,120
1094RX,80
1013KX,150
1054VN,109
1092BL,280
1054ZD,197.5
1072TW,102.5
1091GW,129.33
1017VS,125
1033BE,110
1056KJ,105
1024EZ,100
1055ED,75
1052NH,97.5
1016JC,130
1087AW,199
1013EP,90
1015SX,110
1015NJ,126.67
1054CV,87.5
1017WJ,144
1054HK,99
1016CT,165
1012RW,150
1013VZ,60
1071WX,124
1072VV,90
1074XZ,95
1013KS,109.67
1032AR,154
1067JR,119
1031DB,90
1018SZ,250
1086ZM,160
1019ED,110
1073HS,149
1093DC,183
1077LK,315
1011LD,170
1012KV,149
1018NM,100
1086ZV,265
1057HP,104.5
1072SM,75
1094HK,89
1054HN,99
1073BG,101.5
1058EC,108.33
1054RC,141.33
1012BV,180
1093JK,98.75
1091JC,119
1078BD,189
1025HX,130
1052JN,125
1018TH,200
1021NN,80
1054XN,100
1076JL,210
1015PN,90
1025LB,175
1076NX,100
1054DV,110
1052GH,80
1017RM,110
1078BL,170
1019DZ,122.5
1092TX,99.67
